CookerStat, GenerateAssetRegistry=0.038918, Initialize=0.158232, RunGuid=RunID1BA673D9441916A61D887685D2749069
SavePackageTransactionIdEEC0FA7946AAEDD0D25D5F8DDC38EB15_11, Filename=../../../../../../Users/Adam/Documents/Unreal Projects/Beats/Content/TwinStickBP/Blueprints/BeatBlock.uasset, AutoPackageBackupDelegate=2.904188, FlushAsyncLoading=0.002995, FlushStreamingFunc=0.074837, BlockTillAllRequestsFinished=0.004705, ResetLoadersForSaveUnMarkAllObjects=0.119742, TagPackageExports=1.155090, BeginCacheForCookedPlatformData=0.001710, SerializeImports=1.752950, GatherLocalizableTextData=1.173478, MarkNames=0.022668, SerializeSummary=0.013255, SerializeNames=0.100926, SerializeGatherableTextData=0.005990, BuildExportMap=0.067569, SortExportsNonSeekfree=0.093225, SortExportsSeekfreeConstructor=0.061154, SortExportsSeekfreeInner=2.728853, SortExportsSeekfree=0.002995, BuildDependencyMap=0.020098, SerializeImportMap=0.010692, SerializeExportMap=0.011116, SerializeDependencyMap=0.002991, SerializeStringAssetReferenceMap=0.002567, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.257447, SerializeExports=1.796998, SerializeBulkData=0.004705, MoveFile=1.658440, UnaccountedTime=1.304340, RunGuid=RunID1BA673D9441916A61D887685D2749069
SavePackageTransactionIdEEC0FA7946AAEDD0D25D5F8DDC38EB15_12, Filename=../../../../../../Users/Adam/Documents/Unreal Projects/Beats/Content/TwinStickBP/Blueprints/BeatBlock.uasset, AutoPackageBackupDelegate=1.496784, FlushAsyncLoading=0.002567, FlushStreamingFunc=0.073127, BlockTillAllRequestsFinished=0.005558, ResetLoadersForSaveUnMarkAllObjects=0.107769, TagPackageExports=1.043901, BeginCacheForCookedPlatformData=0.001710, SerializeImports=1.542117, GatherLocalizableTextData=1.490369, MarkNames=0.035070, SerializeSummary=0.015393, SerializeNames=0.128724, SerializeGatherableTextData=0.011120, BuildExportMap=0.096221, SortExportsNonSeekfree=0.123166, SortExportsSeekfreeConstructor=0.078689, SortExportsSeekfreeInner=2.624933, SortExportsSeekfree=0.004277, BuildDependencyMap=0.022236, SerializeImportMap=0.007272, SerializeExportMap=0.010263, SerializeDependencyMap=0.002567, SerializeStringAssetReferenceMap=0.002138, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.256162, SerializeExports=1.558367, SerializeBulkData=0.005558, MoveFile=1.978323, UnaccountedTime=1.291513, RunGuid=RunID1BA673D9441916A61D887685D2749069
SavePackageTransactionIdEEC0FA7946AAEDD0D25D5F8DDC38EB15_13, Filename=../../../../../../Users/Adam/Documents/Unreal Projects/Beats/Content/TwinStickBP/Blueprints/BeatBlock.uasset, AutoPackageBackupDelegate=1.387734, FlushAsyncLoading=0.002567, FlushStreamingFunc=0.095792, BlockTillAllRequestsFinished=0.004277, ResetLoadersForSaveUnMarkAllObjects=0.106487, TagPackageExports=1.004130, BeginCacheForCookedPlatformData=0.001710, SerializeImports=1.511324, GatherLocalizableTextData=0.997715, MarkNames=0.018392, SerializeSummary=0.009835, SerializeNames=0.092801, SerializeGatherableTextData=0.140697, BuildExportMap=0.079542, SortExportsNonSeekfree=0.114184, SortExportsSeekfreeConstructor=0.056878, SortExportsSeekfreeInner=2.995711, SortExportsSeekfree=0.005558, BuildDependencyMap=0.021812, SerializeImportMap=0.006840, SerializeExportMap=0.010263, SerializeDependencyMap=0.002138, SerializeStringAssetReferenceMap=0.001710, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.315182, SerializeExports=1.606692, SerializeBulkData=0.004277, MoveFile=2.463281, UnaccountedTime=1.256447, RunGuid=RunID1BA673D9441916A61D887685D2749069
SavePackageTransactionIdEEC0FA7946AAEDD0D25D5F8DDC38EB15_14, Filename=../../../../../../Users/Adam/Documents/Unreal Projects/Beats/Content/TwinStickBP/Blueprints/BeatBlock.uasset, AutoPackageBackupDelegate=1.434777, FlushAsyncLoading=0.002563, FlushStreamingFunc=0.094514, BlockTillAllRequestsFinished=0.004277, ResetLoadersForSaveUnMarkAllObjects=0.109479, TagPackageExports=1.956940, BeginCacheForCookedPlatformData=0.002138, SerializeImports=3.475536, GatherLocalizableTextData=1.720019, MarkNames=0.023950, SerializeSummary=0.012401, SerializeNames=0.096224, SerializeGatherableTextData=0.132143, BuildExportMap=0.091515, SortExportsNonSeekfree=0.198860, SortExportsSeekfreeConstructor=0.061154, SortExportsSeekfreeInner=3.704332, SortExportsSeekfree=0.005130, BuildDependencyMap=0.030793, SerializeImportMap=0.009406, SerializeExportMap=0.014540, SerializeDependencyMap=0.004277, SerializeStringAssetReferenceMap=0.001710, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.429362, SerializeExports=4.370611, SerializeBulkData=0.008129, MoveFile=1.888517, UnaccountedTime=1.498494, RunGuid=RunID1BA673D9441916A61D887685D2749069
SavePackageTransactionIdEEC0FA7946AAEDD0D25D5F8DDC38EB15_15, Filename=../../../../../../Users/Adam/Documents/Unreal Projects/Beats/Content/TwinStickBP/Blueprints/BeatBlock.uasset, AutoPackageBackupDelegate=1.757652, FlushAsyncLoading=0.004277, FlushStreamingFunc=0.049610, BlockTillAllRequestsFinished=0.004701, ResetLoadersForSaveUnMarkAllObjects=0.124447, TagPackageExports=5.260132, BeginCacheForCookedPlatformData=0.002567, SerializeImports=5.911872, GatherLocalizableTextData=4.726850, MarkNames=0.059441, SerializeSummary=0.018392, SerializeNames=0.138558, SerializeGatherableTextData=0.176620, BuildExportMap=0.132572, SortExportsNonSeekfree=0.622664, SortExportsSeekfreeConstructor=0.078261, SortExportsSeekfreeInner=9.032030, SortExportsSeekfree=0.004705, BuildDependencyMap=0.050463, SerializeImportMap=0.011548, SerializeExportMap=0.037633, SerializeDependencyMap=0.005558, SerializeStringAssetReferenceMap=0.002995, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.826049, SerializeExports=7.701598, SerializeBulkData=0.006415, MoveFile=1.631070, UnaccountedTime=1.604553, RunGuid=RunID1BA673D9441916A61D887685D2749069
SavePackageTransactionIdEEC0FA7946AAEDD0D25D5F8DDC38EB15_16, Filename=../../../../../../Users/Adam/Documents/Unreal Projects/Beats/Content/TwinStickBP/Blueprints/BeatBlock.uasset, AutoPackageBackupDelegate=1.822658, FlushAsyncLoading=0.004277, FlushStreamingFunc=0.054311, BlockTillAllRequestsFinished=0.003424, ResetLoadersForSaveUnMarkAllObjects=0.112042, TagPackageExports=8.447856, BeginCacheForCookedPlatformData=0.004705, SerializeImports=9.456687, GatherLocalizableTextData=6.638456, MarkNames=0.051320, SerializeSummary=0.012401, SerializeNames=0.263862, SerializeGatherableTextData=0.087239, BuildExportMap=0.180472, SortExportsNonSeekfree=1.365494, SortExportsSeekfreeConstructor=0.112046, SortExportsSeekfreeInner=18.007607, SortExportsSeekfree=0.008125, BuildDependencyMap=0.079546, SerializeImportMap=0.015821, SerializeExportMap=0.037637, SerializeDependencyMap=0.006415, SerializeStringAssetReferenceMap=0.001281, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.611793, SerializeExports=9.005517, SerializeBulkData=0.010263, MoveFile=1.681529, UnaccountedTime=1.231212, RunGuid=RunID1BA673D9441916A61D887685D2749069
SavePackageTransactionIdEEC0FA7946AAEDD0D25D5F8DDC38EB15_17, Filename=../../../../../../Users/Adam/Documents/Unreal Projects/Beats/Content/TwinStickBP/Maps/TwinStickExampleMap.umap, AutoPackageBackupDelegate=5.110878, FlushAsyncLoading=0.016250, FlushStreamingFunc=0.073556, BlockTillAllRequestsFinished=0.005990, ResetLoadersForSaveUnMarkAllObjects=0.167638, TagPackageExports=0.891656, BeginCacheForCookedPlatformData=0.001710, SerializeImports=1.770481, GatherLocalizableTextData=9.140656, MarkNames=0.070989, SerializeSummary=0.015825, SerializeNames=0.387453, SerializeGatherableTextData=0.017107, BuildExportMap=0.261296, SortExportsNonSeekfree=0.533283, SortExportsSeekfreeConstructor=0.060298, SortExportsSeekfreeInner=10.724254, SortExportsSeekfree=0.007268, BuildDependencyMap=0.102639, SerializeImportMap=0.047468, SerializeExportMap=0.038061, SerializeDependencyMap=0.007272, SerializeStringAssetReferenceMap=0.001710, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.984456, SerializeExports=4.664838, SerializeBulkData=146.764481, MoveFile=1.615673, UnaccountedTime=1.180321, RunGuid=RunID1BA673D9441916A61D887685D2749069
SavePackageTransactionIdEEC0FA7946AAEDD0D25D5F8DDC38EB15_18, Filename=../../../../../../Users/Adam/Documents/Unreal Projects/Beats/Content/TwinStickBP/Maps/TwinStickExampleMap.umap, AutoPackageBackupDelegate=1.944963, FlushAsyncLoading=0.002995, FlushStreamingFunc=0.060298, BlockTillAllRequestsFinished=0.004277, ResetLoadersForSaveUnMarkAllObjects=0.121456, TagPackageExports=1.094364, BeginCacheForCookedPlatformData=0.002563, SerializeImports=2.098922, GatherLocalizableTextData=10.979135, MarkNames=0.099640, SerializeSummary=0.016253, SerializeNames=0.459298, SerializeGatherableTextData=0.023946, BuildExportMap=0.266429, SortExportsNonSeekfree=0.605129, SortExportsSeekfreeConstructor=0.075694, SortExportsSeekfreeInner=12.778696, SortExportsSeekfree=0.005562, BuildDependencyMap=0.113327, SerializeImportMap=0.046186, SerializeExportMap=0.039771, SerializeDependencyMap=0.007696, SerializeStringAssetReferenceMap=0.002138, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.120877, SerializeExports=5.534686, SerializeBulkData=160.608887, MoveFile=1.568630, UnaccountedTime=1.698211, RunGuid=RunID1BA673D9441916A61D887685D2749069
SavePackageTransactionIdEEC0FA7946AAEDD0D25D5F8DDC38EB15_19, Filename=../../../../../../Users/Adam/Documents/Unreal Projects/Beats/Content/TwinStickBP/Maps/TwinStickExampleMap.umap, AutoPackageBackupDelegate=1.611825, FlushAsyncLoading=0.002991, FlushStreamingFunc=0.065859, BlockTillAllRequestsFinished=0.005562, ResetLoadersForSaveUnMarkAllObjects=0.141550, TagPackageExports=1.343258, BeginCacheForCookedPlatformData=0.002995, SerializeImports=1.932990, GatherLocalizableTextData=9.130816, MarkNames=0.073127, SerializeSummary=0.014968, SerializeNames=0.402849, SerializeGatherableTextData=0.019673, BuildExportMap=0.251886, SortExportsNonSeekfree=0.701781, SortExportsSeekfreeConstructor=0.090662, SortExportsSeekfreeInner=16.504835, SortExportsSeekfree=0.007696, BuildDependencyMap=0.111189, SerializeImportMap=0.048324, SerializeExportMap=0.039343, SerializeDependencyMap=0.006415, SerializeStringAssetReferenceMap=0.002138, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.975475, SerializeExports=4.796129, SerializeBulkData=149.434326, MoveFile=2.158366, UnaccountedTime=1.196999, RunGuid=RunID1BA673D9441916A61D887685D2749069
SavePackageTransactionIdEEC0FA7946AAEDD0D25D5F8DDC38EB15_20, Filename=../../../../../../Users/Adam/Documents/Unreal Projects/Beats/Content/TwinStickBP/Blueprints/BeatBlock.uasset, AutoPackageBackupDelegate=1.576331, FlushAsyncLoading=0.002991, FlushStreamingFunc=0.118032, BlockTillAllRequestsFinished=0.004705, ResetLoadersForSaveUnMarkAllObjects=0.107341, TagPackageExports=6.197117, BeginCacheForCookedPlatformData=0.004277, SerializeImports=6.989989, GatherLocalizableTextData=5.110450, MarkNames=0.046186, SerializeSummary=0.013258, SerializeNames=0.251461, SerializeGatherableTextData=0.079542, BuildExportMap=0.233926, SortExportsNonSeekfree=1.112752, SortExportsSeekfreeConstructor=0.010692, SortExportsSeekfreeInner=9.331387, SortExportsSeekfree=0.006415, BuildDependencyMap=0.068426, SerializeImportMap=0.013687, SerializeExportMap=0.038918, SerializeDependencyMap=0.006843, SerializeStringAssetReferenceMap=0.002138, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.557482, SerializeExports=8.843004, SerializeBulkData=0.005987, MoveFile=1.455728, UnaccountedTime=1.245752, RunGuid=RunID1BA673D9441916A61D887685D2749069
